,views
2165,1195181
2139,821291
76,395769
190,785872
1418,1164684
206,2283491
485,732390
203,1277619
1957,1294952
2371,1354522
2232,888652
1857,1131041
1,3200520
331,642201
1262,720465
1349,2460131
1403,1304597
1673,1172298
375,943565
2362,1297943
900,1421357
2282,1004810
1271,485501
880,704205
303,1636425
1545,954702
547,1055904
1245,43155405
664,819361
2059,2224913
87,398713
620,851719
802,596776
1872,2206061
353,3303825
1281,1004016
1310,879676
200,21190883
1205,3600582
1276,1115222
587,733293
1778,2065196
1333,2533881
2145,1507057
2280,891398
1910,1458290
1446,3035515
1065,1243930
446,646378
1915,1441565
2364,1015849
226,1888717
1940,6214152
1432,1168185
983,276132
977,1757711
1504,1041748
1908,1241223
181,594523
406,922158
414,884578
3,1697550
1435,2449736
970,438379
1326,525297
1943,1612561
1965,996127
1543,1429564
325,457492
918,992224
2179,1211098
1125,737937
268,1056435
1036,1196436
1323,1725064
613,619489
341,212202
1506,2158038
632,389961
1734,3590381
987,653303
510,470615
140,3982352
1059,1363726
2207,1385538
1733,1349623
1709,1492005
161,898974
389,497449
2210,1177013
1664,1107747
1129,264684
2350,1052652
642,2428958
576,654080
484,1340175
2011,2079266
1607,885494
955,1736183
2245,1614524
1122,166959
1461,724180
1060,1174189
24,1131864
791,439180
101,1451846
447,522578
839,657251
1852,1083424
675,799855
1746,1215053
1660,2494615
1800,2647157
1395,2592925
8,2567958
1938,1437261
1452,1068469
363,382517
400,425429
1573,1063414
1703,1370965
1352,1342510
1011,1443353
877,525446
934,598693
1037,485769
894,1435933
1761,1685861
1438,5199008
645,587639
582,1022426
1817,1096201
992,633715
2184,985203
1442,4538435
1206,353350
2331,918385
804,1119772
2030,2152900
1892,2471075
2369,1069469
724,943245
1477,15283242
45,1536873
764,900395
48,1813665
885,735708
1884,1339843
2436,375647
994,369363
2201,1236485
301,4016531
1421,10281817
1443,1836106
631,518461
212,1751426
585,4573252
1902,2042978
825,7481004
1596,2379244
1535,1225960
1524,599368
1814,4984884
2152,443773
418,555846
2177,1077686
110,1044185
223,442623
707,3450119
1837,2498698
229,672113
1644,1827375
1294,1120276
627,7266316
1291,1594495
943,3630894
1716,3673455
683,924806
583,708408
2373,1244502
351,382985
1854,1189513
1759,1132771
807,10529854
1339,699088
1853,1003314
730,2012387
2150,1027539
1436,687669
2268,1354647
772,399314
1093,4066376
2332,1132913
1821,658478
920,872169
1505,1204089
37,2028451
2368,1088768
2343,1219828
1147,1383079
1210,1206351
2143,1929261
2157,1257468
1217,1024653
1985,1202223
1087,1080869
372,2725557
137,1575699
1728,742106
1143,359381
1475,682353
2400,552732
705,899942
2407,659384
1987,1446267
1867,1512972
1812,1559585
2361,3183828
1552,4102503
2272,1240167
1850,1610293
2008,2435682
1453,1655352
1517,1535238
1708,1198332
2292,933978
1374,836699
2376,1858990
1559,2931366
1512,1108528
513,16097077
67,5570544
537,415223
1112,834897
1222,809361
1783,6569493
2413,522917
778,599444
702,343349
309,236002
1764,1701743
573,674090
916,693722
1195,1619108
745,851862
1252,2352202
917,946354
2044,3325490
125,1788182
1839,2005189
1751,970703
2098,1811102
220,362609
452,5790615
149,1720579
1410,2715019
1583,1022945
1541,1430350
2412,744793
678,2581998
1334,10524043
1975,780116
549,437800
828,1479352
995,191555
2199,851675
1647,4801456
2273,942996
1397,1188177
1865,2782822
1906,1139487
1343,2895821
672,431548
785,2513242
1941,947562
1897,1165313
2320,1098436
264,2161846
227,1281570
299,1935213
456,3573198
2001,1254964
1172,1778974
1999,2269844
398,1237391
1624,1112914
1236,1239316
2090,1132257
2263,2359347
1162,298776
2383,1005506
202,1357888
347,1065681
1171,722536
829,1531265
1398,1786965
852,6263759
60,442553
1232,1225395
1448,8688241
2264,1374091
701,942928
382,1460352
94,428351
634,1451649
2378,2664733
906,842057
1146,638247
267,665947
250,920941
653,1678493
1760,1593079
2062,1468353
1328,1666552
98,443180
182,670863
260,656400
1481,1151214
158,1895259
1231,2246203
51,1391142
1081,3192405
2195,1194781
1084,873230
851,1215549
899,2500389
1026,548121
1290,660569
1564,1072727
558,528451
726,1347633
369,3472415
82,606311
1923,829988
1736,1281466
680,452632
1744,1239635
338,1022333
490,13298341
104,779873
1553,1187105
476,4233352
1105,1061687
1138,2138419
1948,1108371
1012,310126
921,852507
836,1507048
575,567000
1570,836011
2285,804359
985,764971
1457,790591
422,751889
2421,1070238
1991,1201029
330,651151
1649,936480
1790,1301734
1769,3143653
1967,1936760
133,836269
2304,1107309
2239,975597
1178,841128
1144,952095
470,689476
2336,1158707
1668,3916554
91,754700
435,1580239
936,975365
733,452578
1896,1476377
1797,1818659
1822,999472
2013,1332162
11,387877
210,480377
1373,5319077
53,882034
779,3813685
2365,815611
2108,1588740
386,2049904
1901,1532875
2432,534824
854,509375
1260,813261
1386,4843480
615,876307
619,1324929
628,1033272
1247,788255
577,1890066
793,746852
1561,1095582
630,541076
188,931001
1221,464213
167,8360707
1028,276779
596,6475731
