,model_num,optimizer,loss_fn,activation_fn,output_activation_fn,epochs,batch_size,num_hiddenlayer,neurons_in_hiddenlayer,neurons_in_inputlayer,num_dropout_layers,loss,mse_test,mae_test,mape_test,cosine_similarity_test,rmse_test,msle_test,corr
0,0.0,sgd,mse,relu,relu,1.0,1.0,1.0,2.0,1.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247
1,1.0,sgd,mse,relu,relu,1.0,1.0,1.0,2.0,2.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247
2,2.0,sgd,mse,relu,relu,1.0,1.0,1.0,2.0,4.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247
3,3.0,sgd,mse,relu,relu,1.0,1.0,1.0,2.0,7.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247
4,4.0,sgd,mse,relu,relu,1.0,1.0,1.0,2.0,10.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247
5,5.0,sgd,mse,relu,relu,1.0,1.0,2.0,2.0,1.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247
6,6.0,sgd,mse,relu,relu,1.0,1.0,2.0,2.0,2.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247
7,7.0,sgd,mse,relu,relu,1.0,1.0,2.0,2.0,4.0,0.0,,,,,,,,0.5289031736657247
8,8.0,sgd,mse,relu,relu,1.0,1.0,2.0,2.0,7.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247
9,9.0,sgd,mse,relu,relu,1.0,1.0,2.0,2.0,10.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247
10,10.0,sgd,mse,relu,relu,1.0,1.0,4.0,2.0,1.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247
11,11.0,sgd,mse,relu,relu,1.0,1.0,4.0,2.0,2.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247
12,12.0,sgd,mse,relu,relu,1.0,1.0,4.0,2.0,4.0,0.0,,,,,,,,0.5289031736657247
13,13.0,sgd,mse,relu,relu,1.0,1.0,4.0,2.0,7.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247
14,14.0,sgd,mse,relu,relu,1.0,1.0,4.0,2.0,10.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247
15,15.0,sgd,mse,relu,relu,1.0,1.0,7.0,2.0,1.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247
16,16.0,sgd,mse,relu,relu,1.0,1.0,7.0,2.0,2.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247
17,17.0,sgd,mse,relu,relu,1.0,1.0,7.0,2.0,4.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247
18,18.0,sgd,mse,relu,relu,1.0,1.0,7.0,2.0,7.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247
19,19.0,sgd,mse,relu,relu,1.0,1.0,7.0,2.0,10.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247
20,20.0,sgd,mse,relu,relu,1.0,1.0,10.0,2.0,1.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247
21,21.0,sgd,mse,relu,relu,1.0,1.0,10.0,2.0,2.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247
22,22.0,sgd,mse,relu,relu,1.0,1.0,10.0,2.0,4.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247
23,23.0,sgd,mse,relu,relu,1.0,1.0,10.0,2.0,7.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247
24,24.0,sgd,mse,relu,relu,1.0,1.0,10.0,2.0,10.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247
25,25.0,sgd,mse,relu,relu,1.0,10.0,1.0,2.0,1.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247
26,26.0,sgd,mse,relu,relu,1.0,10.0,1.0,2.0,2.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247
27,27.0,sgd,mse,relu,relu,1.0,10.0,1.0,2.0,4.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247
28,28.0,sgd,mse,relu,relu,1.0,10.0,1.0,2.0,7.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247
29,29.0,sgd,mse,relu,relu,1.0,10.0,1.0,2.0,10.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247
30,30.0,sgd,mse,relu,relu,1.0,10.0,2.0,2.0,1.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247
31,31.0,sgd,mse,relu,relu,1.0,10.0,2.0,2.0,2.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247
32,32.0,sgd,mse,relu,relu,1.0,10.0,2.0,2.0,4.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247
33,33.0,sgd,mse,relu,relu,1.0,10.0,2.0,2.0,7.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247
34,34.0,sgd,mse,relu,relu,1.0,10.0,2.0,2.0,10.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247
35,35.0,sgd,mse,relu,relu,1.0,10.0,4.0,2.0,1.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247
36,36.0,sgd,mse,relu,relu,1.0,10.0,4.0,2.0,2.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247
37,37.0,sgd,mse,relu,relu,1.0,10.0,4.0,2.0,4.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247
38,38.0,sgd,mse,relu,relu,1.0,10.0,4.0,2.0,7.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247
39,39.0,sgd,mse,relu,relu,1.0,10.0,4.0,2.0,10.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247
40,40.0,sgd,mse,relu,relu,1.0,10.0,7.0,2.0,1.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247
