,model_num,optimizer,loss_fn,activation_fn,output_activation_fn,epochs,batch_size,neurons_in_inputlayer,num_hiddenlayer,neurons_in_hiddenlayer,num_dropout_layers,loss,mse_test,mae_test,mape_test,cosine_similarity_test,rmse_test,msle_test,corr
0,0.0,adam,mse,relu,relu,1.0,1.0,1.0,1.0,1.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247
1,1.0,adam,mse,relu,relu,1.0,1.0,1.0,1.0,2.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247
2,2.0,adam,mse,relu,relu,1.0,1.0,1.0,1.0,4.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247
3,3.0,adam,mse,relu,relu,1.0,1.0,1.0,1.0,10.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247
4,4.0,adam,mse,relu,relu,1.0,1.0,2.0,1.0,1.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247
5,5.0,adam,mse,relu,relu,1.0,1.0,2.0,1.0,2.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247
6,6.0,adam,mse,relu,relu,1.0,1.0,2.0,1.0,4.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247
7,7.0,adam,mse,relu,relu,1.0,1.0,2.0,1.0,10.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247
8,8.0,adam,mse,relu,relu,1.0,1.0,4.0,1.0,1.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247
9,9.0,adam,mse,relu,relu,1.0,1.0,4.0,1.0,2.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247
10,10.0,adam,mse,relu,relu,1.0,1.0,4.0,1.0,4.0,0.0,6479500804096.0,6479500804096.0,1633376.625,99.92900085449219,1.0,2545486.25,58.667518615722656,0.5289031736657247
11,11.0,adam,mse,relu,relu,1.0,1.0,4.0,1.0,10.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247
12,12.0,adam,mse,relu,relu,1.0,1.0,10.0,1.0,1.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247
13,13.0,adam,mse,relu,relu,1.0,1.0,10.0,1.0,2.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247
14,14.0,adam,mse,relu,relu,1.0,1.0,10.0,1.0,4.0,0.0,6481504108544.0,6481504108544.0,1633753.625,99.95813751220703,1.0,2545879.75,66.95362091064453,0.5289031736657247
15,15.0,adam,mse,relu,relu,1.0,1.0,10.0,1.0,10.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247
16,16.0,adam,mse,relu,relu,1.0,10.0,1.0,1.0,1.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247
17,17.0,adam,mse,relu,relu,1.0,10.0,1.0,1.0,2.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247
18,18.0,adam,mse,relu,relu,1.0,10.0,1.0,1.0,4.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247
19,19.0,adam,mse,relu,relu,1.0,10.0,1.0,1.0,10.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247
20,20.0,adam,mse,relu,relu,1.0,10.0,2.0,1.0,1.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247
21,21.0,adam,mse,relu,relu,1.0,10.0,2.0,1.0,2.0,0.0,6484350992384.0,6484350992384.0,1634288.75,99.99949645996094,1.0,2546439.0,151.04002380371094,0.5289031736657247
22,22.0,adam,mse,relu,relu,1.0,10.0,2.0,1.0,4.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247
23,23.0,adam,mse,relu,relu,1.0,10.0,2.0,1.0,10.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247
24,24.0,adam,mse,relu,relu,1.0,10.0,4.0,1.0,1.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247
25,25.0,adam,mse,relu,relu,1.0,10.0,4.0,1.0,2.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247
