,model_num,optimizer,loss_fn,activation_fn,output_activation_fn,epochs,batch_size,neurons_in_inputlayer,num_hiddenlayer,neurons_in_hiddenlayer,num_dropout_layers,loss,mse_test,mae_test,mape_test,cosine_similarity_test,rmse_test,msle_test,corr,total_runtime
0,0.0,nadam,mse,relu,relu,1.0,1.0,1.0,1.0,1.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247,0 days 09:08:40.950942
1,0.0,nadam,mse,relu,relu,1.0,1.0,1.0,1.0,1.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247,0 days 09:08:40.950942
2,0.0,nadam,mse,relu,relu,50.0,1.0,1.0,1.0,1.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247,0 days 09:08:40.950942
3,1.0,nadam,mse,relu,relu,50.0,1.0,1.0,1.0,5.0,0.0,4659993903104.0,4659993903104.0,1238939.875,69.7831802368164,1.0,2158702.0,2.5530035495758057,0.5289031736657247,0 days 09:08:40.950942
4,2.0,nadam,mse,relu,relu,50.0,1.0,1.0,1.0,10.0,0.0,4141292453888.0,4141292453888.0,1048607.75,60.54369354248047,1.0,2035016.625,1.1895052194595337,0.5289031736657247,0 days 09:08:40.950942
5,3.0,nadam,mse,relu,relu,50.0,1.0,5.0,1.0,1.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247,0 days 09:08:40.950942
6,4.0,nadam,mse,relu,relu,50.0,1.0,5.0,1.0,5.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247,0 days 09:08:40.950942
7,5.0,nadam,mse,relu,relu,50.0,1.0,5.0,1.0,10.0,0.0,4268127944704.0,4268127944704.0,1019121.8125,61.597965240478516,1.0,2065944.75,0.944370448589325,0.5289031736657247,0 days 09:08:40.950942
8,6.0,nadam,mse,relu,relu,50.0,1.0,10.0,1.0,1.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247,0 days 09:08:40.950942
9,7.0,nadam,mse,relu,relu,50.0,1.0,10.0,1.0,5.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247,0 days 09:08:40.950942
10,8.0,nadam,mse,relu,relu,50.0,1.0,10.0,1.0,10.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247,0 days 09:08:40.950942
11,9.0,nadam,mse,relu,relu,50.0,10.0,1.0,1.0,1.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247,0 days 09:08:40.950942
12,10.0,nadam,mse,relu,relu,50.0,10.0,1.0,1.0,5.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247,0 days 09:08:40.950942
13,11.0,nadam,mse,relu,relu,50.0,10.0,1.0,1.0,10.0,0.0,5676804866048.0,5676804866048.0,1468912.375,87.1467056274414,1.0,2382604.75,6.486502170562744,0.5289031736657247,0 days 09:08:40.950942
14,12.0,nadam,mse,relu,relu,50.0,10.0,5.0,1.0,1.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247,0 days 09:08:40.950942
15,13.0,nadam,mse,relu,relu,50.0,10.0,5.0,1.0,5.0,0.0,6173971447808.0,6173971447808.0,1573873.375,95.33057403564453,1.0,2484747.75,12.476265907287598,0.5289031736657247,0 days 09:08:40.950942
16,14.0,nadam,mse,relu,relu,50.0,10.0,5.0,1.0,10.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247,0 days 09:08:40.950942
17,15.0,nadam,mse,relu,relu,50.0,10.0,10.0,1.0,1.0,0.0,5911581032448.0,5911581032448.0,1519064.875,91.09548950195312,1.0,2431374.25,8.466087341308594,0.5289031736657247,0 days 09:08:40.950942
18,16.0,nadam,mse,relu,relu,50.0,10.0,10.0,1.0,5.0,0.0,5354109796352.0,5354109796352.0,1402682.5,81.75033569335938,1.0,2313895.0,4.791936874389648,0.5289031736657247,0 days 09:08:40.950942
19,17.0,nadam,mse,relu,relu,50.0,10.0,10.0,1.0,10.0,0.0,4498685689856.0,4498685689856.0,1197373.75,67.2171401977539,1.0,2121010.5,2.2476985454559326,0.5289031736657247,0 days 09:08:40.950942
