,model_num,optimizer,loss_fn,activation_fn,output_activation_fn,epochs,batch_size,neurons_in_inputlayer,num_hiddenlayer,neurons_in_hiddenlayer,num_dropout_layers,loss,mse_test,mae_test,mape_test,cosine_similarity_test,rmse_test,msle_test,validation_split,input_dimensions,corr,total_runtime
0,0.0,nadam,mse,relu,relu,50.0,1.0,1.0,1.0,1.0,0.0,4781298941952.0,4781298941952.0,1556715.875,100.0,0.0,2186618.25,195.8067169189453,0.2,28.0,0.5289031736657247,0 days 11:38:05.659393
1,1.0,nadam,mse,relu,relu,50.0,1.0,1.0,1.0,5.0,0.0,762099073024.0,762099073024.0,567907.625,53.810585021972656,1.0,872982.875,0.2696552574634552,0.2,28.0,0.5289031736657247,0 days 11:38:05.659393
2,2.0,nadam,mse,relu,relu,50.0,1.0,1.0,1.0,10.0,0.0,4781298941952.0,4781298941952.0,1556715.875,100.0,0.0,2186618.25,195.8067169189453,0.2,28.0,0.5289031736657247,0 days 11:38:05.659393
3,3.0,nadam,mse,relu,relu,50.0,1.0,5.0,1.0,1.0,0.0,697526386688.0,697526386688.0,527078.25,45.899837493896484,1.0,835180.4375,0.23113542795181274,0.2,28.0,0.5289031736657247,0 days 11:38:05.659393
4,4.0,nadam,mse,relu,relu,50.0,1.0,5.0,1.0,5.0,0.0,4781298941952.0,4781298941952.0,1556715.875,100.0,0.0,2186618.25,195.8067169189453,0.2,28.0,0.5289031736657247,0 days 11:38:05.659393
5,5.0,nadam,mse,relu,relu,50.0,1.0,5.0,1.0,10.0,0.0,670266818560.0,670266818560.0,510571.40625,42.482635498046875,1.0,818698.25,0.2192220389842987,0.2,28.0,0.5289031736657247,0 days 11:38:05.659393
6,6.0,nadam,mse,relu,relu,50.0,1.0,10.0,1.0,1.0,0.0,676310679552.0,676310679552.0,515339.875,43.504791259765625,1.0,822381.125,0.222549706697464,0.2,28.0,0.5289031736657247,0 days 11:38:05.659393
7,7.0,nadam,mse,relu,relu,50.0,1.0,10.0,1.0,5.0,0.0,670917984256.0,670917984256.0,511367.1875,42.99618148803711,1.0,819095.8125,0.21972188353538513,0.2,28.0,0.5289031736657247,0 days 11:38:05.659393
8,8.0,nadam,mse,relu,relu,50.0,1.0,10.0,1.0,10.0,0.0,674228731904.0,674228731904.0,512072.28125,42.96199417114258,1.0,821114.3125,0.22081555426120758,0.2,28.0,0.5289031736657247,0 days 11:38:05.659393
9,9.0,nadam,mse,relu,relu,50.0,10.0,1.0,1.0,1.0,0.0,4781298941952.0,4781298941952.0,1556715.875,100.0,0.0,2186618.25,195.8067169189453,0.2,28.0,0.5289031736657247,0 days 11:38:05.659393
10,10.0,nadam,mse,relu,relu,50.0,10.0,1.0,1.0,5.0,0.0,4781298941952.0,4781298941952.0,1556715.875,100.0,0.0,2186618.25,195.8067169189453,0.2,28.0,0.5289031736657247,0 days 11:38:05.659393
11,11.0,nadam,mse,relu,relu,50.0,10.0,1.0,1.0,10.0,0.0,871203143680.0,871203143680.0,564379.75,43.40613555908203,1.0,933382.625,0.2538284361362457,0.2,28.0,0.5289031736657247,0 days 11:38:05.659393
12,12.0,nadam,mse,relu,relu,50.0,10.0,5.0,1.0,1.0,0.0,1007687630848.0,1007687630848.0,596400.75,41.15971755981445,1.0,1003836.4375,0.2859593331813812,0.2,28.0,0.5289031736657247,0 days 11:38:05.659393
13,13.0,nadam,mse,relu,relu,50.0,10.0,5.0,1.0,5.0,0.0,732417359872.0,732417359872.0,545823.25,49.13255310058594,1.0,855813.875,0.24728922545909882,0.2,28.0,0.5289031736657247,0 days 11:38:05.659393
14,14.0,nadam,mse,relu,relu,50.0,10.0,5.0,1.0,10.0,0.0,694317154304.0,694317154304.0,531921.625,46.93402862548828,1.0,833256.9375,0.23706039786338806,0.2,28.0,0.5289031736657247,0 days 11:38:05.659393
15,15.0,nadam,mse,relu,relu,50.0,10.0,10.0,1.0,1.0,0.0,4781298941952.0,4781298941952.0,1556715.875,100.0,0.0,2186618.25,195.8067169189453,0.2,28.0,0.5289031736657247,0 days 11:38:05.659393
16,16.0,nadam,mse,relu,relu,50.0,10.0,10.0,1.0,5.0,0.0,4781298941952.0,4781298941952.0,1556715.875,100.0,0.0,2186618.25,195.8067169189453,0.2,28.0,0.5289031736657247,0 days 11:38:05.659393
17,17.0,nadam,mse,relu,relu,50.0,10.0,10.0,1.0,10.0,0.0,4781298941952.0,4781298941952.0,1556715.875,100.0,0.0,2186618.25,195.8067169189453,0.2,28.0,0.5289031736657247,0 days 11:38:05.659393
18,18.0,nadam,mse,relu,relu,50.0,32.0,1.0,1.0,1.0,0.0,4781298941952.0,4781298941952.0,1556715.875,100.0,0.0,2186618.25,195.8067169189453,0.2,28.0,0.5289031736657247,0 days 11:38:05.659393
19,19.0,nadam,mse,relu,relu,50.0,32.0,1.0,1.0,5.0,0.0,4781298941952.0,4781298941952.0,1556715.875,100.0,0.0,2186618.25,195.8067169189453,0.2,28.0,0.5289031736657247,0 days 11:38:05.659393
20,20.0,nadam,mse,relu,relu,50.0,32.0,1.0,1.0,10.0,0.0,4781298941952.0,4781298941952.0,1556715.875,100.0,0.0,2186618.25,195.8067169189453,0.2,28.0,0.5289031736657247,0 days 11:38:05.659393
21,21.0,nadam,mse,relu,relu,50.0,32.0,5.0,1.0,1.0,0.0,4781298941952.0,4781298941952.0,1556715.875,100.0,0.0,2186618.25,195.8067169189453,0.2,28.0,0.5289031736657247,0 days 11:38:05.659393
22,22.0,nadam,mse,relu,relu,50.0,32.0,5.0,1.0,5.0,0.0,3598399569920.0,3598399569920.0,1317253.25,81.23727416992188,1.0,1896944.75,3.4926822185516357,0.2,28.0,0.5289031736657247,0 days 11:38:05.659393
23,23.0,nadam,mse,relu,relu,50.0,32.0,5.0,1.0,10.0,0.0,2605573210112.0,2605573210112.0,1080298.75,64.61073303222656,1.0,1614178.75,1.4769151210784912,0.2,28.0,0.5289031736657247,0 days 11:38:05.659393
24,24.0,nadam,mse,relu,relu,50.0,32.0,10.0,1.0,1.0,0.0,4781298941952.0,4781298941952.0,1556715.875,100.0,0.0,2186618.25,195.8067169189453,0.2,28.0,0.5289031736657247,0 days 11:38:05.659393
25,25.0,nadam,mse,relu,relu,50.0,32.0,10.0,1.0,5.0,0.0,821746008064.0,821746008064.0,552432.375,41.2556037902832,1.0,906502.0625,0.25026270747184753,0.2,28.0,0.5289031736657247,0 days 11:38:05.659393
26,26.0,nadam,mse,relu,relu,50.0,32.0,10.0,1.0,10.0,0.0,737513963520.0,737513963520.0,538109.625,44.95895004272461,1.0,858786.3125,0.2352881282567978,0.2,28.0,0.5289031736657247,0 days 11:38:05.659393
27,27.0,nadam,mse,relu,relu,50.0,100.0,1.0,1.0,1.0,0.0,4781298941952.0,4781298941952.0,1556715.875,100.0,0.0,2186618.25,195.8067169189453,0.2,28.0,0.5289031736657247,0 days 11:38:05.659393
28,28.0,nadam,mse,relu,relu,50.0,100.0,1.0,1.0,5.0,0.0,4657642471424.0,4657642471424.0,1535071.625,98.41890716552734,1.0,2158157.25,18.520090103149414,0.2,28.0,0.5289031736657247,0 days 11:38:05.659393
29,29.0,nadam,mse,relu,relu,50.0,100.0,1.0,1.0,10.0,0.0,4781298941952.0,4781298941952.0,1556715.875,100.0,0.0,2186618.25,195.8067169189453,0.2,28.0,0.5289031736657247,0 days 11:38:05.659393
30,30.0,nadam,mse,relu,relu,50.0,100.0,5.0,1.0,1.0,0.0,4781298941952.0,4781298941952.0,1556715.875,100.0,0.0,2186618.25,195.8067169189453,0.2,28.0,0.5289031736657247,0 days 11:38:05.659393
31,31.0,nadam,mse,relu,relu,50.0,100.0,5.0,1.0,5.0,0.0,4370499108864.0,4370499108864.0,1481828.625,94.39295959472656,1.0,2090573.875,9.281656265258789,0.2,28.0,0.5289031736657247,0 days 11:38:05.659393
32,32.0,nadam,mse,relu,relu,50.0,100.0,5.0,1.0,10.0,0.0,4086881320960.0,4086881320960.0,1424479.75,89.8653564453125,1.0,2021603.625,6.077467441558838,0.2,28.0,0.5289031736657247,0 days 11:38:05.659393
33,33.0,nadam,mse,relu,relu,50.0,100.0,10.0,1.0,1.0,0.0,4287034818560.0,4287034818560.0,1463563.0,92.8371810913086,1.0,2070515.625,7.887795448303223,0.2,28.0,0.5289031736657247,0 days 11:38:05.659393
34,34.0,nadam,mse,relu,relu,50.0,100.0,10.0,1.0,5.0,0.0,3937303789568.0,3937303789568.0,1393506.25,87.45124053955078,1.0,1984264.0,5.094069480895996,0.2,28.0,0.5289031736657247,0 days 11:38:05.659393
35,35.0,nadam,mse,relu,relu,50.0,100.0,10.0,1.0,10.0,0.0,4781298941952.0,4781298941952.0,1556715.875,100.0,0.0,2186618.25,195.8067169189453,0.2,28.0,0.5289031736657247,0 days 11:38:05.659393
36,36.0,nadam,mse,relu,relu,100.0,1.0,1.0,1.0,1.0,0.0,683102502912.0,683102502912.0,518486.6875,44.11703109741211,1.0,826500.125,0.2241087555885315,0.2,28.0,0.5289031736657247,0 days 11:38:05.659393
37,37.0,nadam,mse,relu,relu,100.0,1.0,1.0,1.0,5.0,0.0,4781298941952.0,4781298941952.0,1556715.875,100.0,0.0,2186618.25,195.8067169189453,0.2,28.0,0.5289031736657247,0 days 11:38:05.659393
38,38.0,nadam,mse,relu,relu,100.0,1.0,1.0,1.0,10.0,0.0,652247564288.0,652247564288.0,504416.4375,41.729312896728516,0.9999999403953552,807618.4375,0.21583284437656403,0.2,28.0,0.5289031736657247,0 days 11:38:05.659393
39,39.0,nadam,mse,relu,relu,100.0,1.0,5.0,1.0,1.0,0.0,4781298941952.0,4781298941952.0,1556715.875,100.0,0.0,2186618.25,195.8067169189453,0.2,28.0,0.5289031736657247,0 days 11:38:05.659393
40,40.0,nadam,mse,relu,relu,100.0,1.0,5.0,1.0,5.0,0.0,669166338048.0,669166338048.0,508703.28125,42.627193450927734,1.0,818025.875,0.2177955061197281,0.2,28.0,0.5289031736657247,0 days 11:38:05.659393
41,41.0,nadam,mse,relu,relu,100.0,1.0,5.0,1.0,10.0,0.0,647101612032.0,647101612032.0,500629.46875,41.398841857910156,1.0,804426.25,0.21204251050949097,0.2,28.0,0.5289031736657247,0 days 11:38:05.659393
42,42.0,nadam,mse,relu,relu,100.0,1.0,10.0,1.0,1.0,0.0,4781298941952.0,4781298941952.0,1556715.875,100.0,0.0,2186618.25,195.8067169189453,0.2,28.0,0.5289031736657247,0 days 11:38:05.659393
43,43.0,nadam,mse,relu,relu,100.0,1.0,10.0,1.0,5.0,0.0,650352263168.0,650352263168.0,497675.4375,41.15555191040039,1.0,806444.1875,0.209422305226326,0.2,28.0,0.5289031736657247,0 days 11:38:05.659393
44,44.0,nadam,mse,relu,relu,100.0,1.0,10.0,1.0,10.0,0.0,4781298941952.0,4781298941952.0,1556715.875,100.0,0.0,2186618.25,195.8067169189453,0.2,28.0,0.5289031736657247,0 days 11:38:05.659393
45,45.0,nadam,mse,relu,relu,100.0,10.0,1.0,1.0,1.0,0.0,4781298941952.0,4781298941952.0,1556715.875,100.0,0.0,2186618.25,195.8067169189453,0.2,28.0,0.5289031736657247,0 days 11:38:05.659393
46,46.0,nadam,mse,relu,relu,100.0,10.0,1.0,1.0,5.0,0.0,4781298941952.0,4781298941952.0,1556715.875,100.0,0.0,2186618.25,195.8067169189453,0.2,28.0,0.5289031736657247,0 days 11:38:05.659393
47,47.0,nadam,mse,relu,relu,100.0,10.0,1.0,1.0,10.0,0.0,745674833920.0,745674833920.0,552243.5,50.35950469970703,1.0,863524.6875,0.25295713543891907,0.2,28.0,0.5289031736657247,0 days 11:38:05.659393
48,48.0,nadam,mse,relu,relu,100.0,10.0,5.0,1.0,1.0,0.0,4781298941952.0,4781298941952.0,1556715.875,100.0,0.0,2186618.25,195.8067169189453,0.2,28.0,0.5289031736657247,0 days 11:38:05.659393
49,49.0,nadam,mse,relu,relu,100.0,10.0,5.0,1.0,5.0,0.0,4781298941952.0,4781298941952.0,1556715.875,100.0,0.0,2186618.25,195.8067169189453,0.2,28.0,0.5289031736657247,0 days 11:38:05.659393
50,50.0,nadam,mse,relu,relu,100.0,10.0,5.0,1.0,10.0,0.0,678961938432.0,678961938432.0,519432.3125,44.00968933105469,1.0,823991.4375,0.22584424912929535,0.2,28.0,0.5289031736657247,0 days 11:38:05.659393
51,51.0,nadam,mse,relu,relu,100.0,10.0,10.0,1.0,1.0,0.0,4781298941952.0,4781298941952.0,1556715.875,100.0,0.0,2186618.25,195.8067169189453,0.2,28.0,0.5289031736657247,0 days 11:38:05.659393
52,52.0,nadam,mse,relu,relu,100.0,10.0,10.0,1.0,5.0,0.0,683542773760.0,683542773760.0,520665.09375,44.15701675415039,1.0,826766.4375,0.22646450996398926,0.2,28.0,0.5289031736657247,0 days 11:38:05.659393
53,53.0,nadam,mse,relu,relu,100.0,10.0,10.0,1.0,10.0,0.0,4781298941952.0,4781298941952.0,1556715.875,100.0,0.0,2186618.25,195.8067169189453,0.2,28.0,0.5289031736657247,0 days 11:38:05.659393
54,54.0,nadam,mse,relu,relu,100.0,32.0,1.0,1.0,1.0,0.0,4781298941952.0,4781298941952.0,1556715.875,100.0,0.0,2186618.25,195.8067169189453,0.2,28.0,0.5289031736657247,0 days 11:38:05.659393
55,55.0,nadam,mse,relu,relu,100.0,32.0,1.0,1.0,5.0,0.0,967666106368.0,967666106368.0,589924.5625,40.38626480102539,1.0,983700.1875,0.2859872281551361,0.2,28.0,0.5289031736657247,0 days 11:38:05.659393
56,56.0,nadam,mse,relu,relu,100.0,32.0,1.0,1.0,10.0,0.0,4781298941952.0,4781298941952.0,1556715.875,100.0,0.0,2186618.25,195.8067169189453,0.2,28.0,0.5289031736657247,0 days 11:38:05.659393
57,57.0,nadam,mse,relu,relu,100.0,32.0,5.0,1.0,1.0,0.0,1422956167168.0,1422956167168.0,732527.1875,44.36298370361328,1.0,1192877.25,0.4918491542339325,0.2,28.0,0.5289031736657247,0 days 11:38:05.659393
58,58.0,nadam,mse,relu,relu,100.0,32.0,5.0,1.0,5.0,0.0,736766722048.0,736766722048.0,539501.0,45.127044677734375,1.0,858351.1875,0.23652273416519165,0.2,28.0,0.5289031736657247,0 days 11:38:05.659393
59,59.0,nadam,mse,relu,relu,100.0,32.0,5.0,1.0,10.0,0.0,4781298941952.0,4781298941952.0,1556715.875,100.0,0.0,2186618.25,195.8067169189453,0.2,28.0,0.5289031736657247,0 days 11:38:05.659393
60,60.0,nadam,mse,relu,relu,100.0,32.0,10.0,1.0,1.0,0.0,972510134272.0,972510134272.0,594508.3125,40.13594055175781,1.0,986159.3125,0.29557448625564575,0.2,28.0,0.5289031736657247,0 days 11:38:05.659393
61,61.0,nadam,mse,relu,relu,100.0,32.0,10.0,1.0,5.0,0.0,724863221760.0,724863221760.0,536408.75,45.55342102050781,1.0,851389.0,0.23535138368606567,0.2,28.0,0.5289031736657247,0 days 11:38:05.659393
62,62.0,nadam,mse,relu,relu,100.0,32.0,10.0,1.0,10.0,0.0,712891301888.0,712891301888.0,532365.75,45.53659439086914,1.0,844328.875,0.23346993327140808,0.2,28.0,0.5289031736657247,0 days 11:38:05.659393
63,63.0,nadam,mse,relu,relu,100.0,100.0,1.0,1.0,1.0,0.0,4781298941952.0,4781298941952.0,1556715.875,100.0,0.0,2186618.25,195.8067169189453,0.2,28.0,0.5289031736657247,0 days 11:38:05.659393
64,64.0,nadam,mse,relu,relu,100.0,100.0,1.0,1.0,5.0,0.0,3595280318464.0,3595280318464.0,1323896.5,82.2486801147461,1.0,1896122.5,3.6863465309143066,0.2,28.0,0.5289031736657247,0 days 11:38:05.659393
65,65.0,nadam,mse,relu,relu,100.0,100.0,1.0,1.0,10.0,0.0,3796961067008.0,3796961067008.0,1370662.75,86.10188293457031,1.0,1948579.25,4.639017105102539,0.2,28.0,0.5289031736657247,0 days 11:38:05.659393
66,66.0,nadam,mse,relu,relu,100.0,100.0,5.0,1.0,1.0,0.0,4781298941952.0,4781298941952.0,1556715.875,100.0,0.0,2186618.25,195.8067169189453,0.2,28.0,0.5289031736657247,0 days 11:38:05.659393
67,67.0,nadam,mse,relu,relu,100.0,100.0,5.0,1.0,5.0,0.0,4781298941952.0,4781298941952.0,1556715.875,100.0,0.0,2186618.25,195.8067169189453,0.2,28.0,0.5289031736657247,0 days 11:38:05.659393
68,68.0,nadam,mse,relu,relu,100.0,100.0,5.0,1.0,10.0,0.0,792190910464.0,792190910464.0,547529.75,39.8109016418457,1.0,890051.0625,0.2543368339538574,0.2,28.0,0.5289031736657247,0 days 11:38:05.659393
69,69.0,nadam,mse,relu,relu,100.0,100.0,10.0,1.0,1.0,0.0,4781298941952.0,4781298941952.0,1556715.875,100.0,0.0,2186618.25,195.8067169189453,0.2,28.0,0.5289031736657247,0 days 11:38:05.659393
70,70.0,nadam,mse,relu,relu,100.0,100.0,10.0,1.0,5.0,0.0,952457822208.0,952457822208.0,597301.4375,39.640464782714844,1.0,975939.4375,0.31299448013305664,0.2,28.0,0.5289031736657247,0 days 11:38:05.659393
